medalist_name,Event,Medalist
Bair Badënov,Male Archery,bronze
Ilario Di Buò,Male Archery,silver
Im Dong-hyun,Male Archery,gold
Jiang Lin,Male Archery,bronze
Lee Chang-hwan,Male Archery,gold
Li Wenquan,Male Archery,bronze
Marco Galiazzo,Male Archery,silver
Mauro Nespoli,Male Archery,silver
Park Kyung-mo,Male Archery,silver
Viktor Ruban,Male Archery,gold
Xue Haifeng,Male Archery,bronze
Bérengère Schuh,Female Archery,bronze
Chen Ling,Female Archery,silver
Guo Dan,Female Archery,silver
Joo Hyun-Jung,Female Archery,gold
Park Sung-hyun,Female Archery,silver
Sophie Dodemont,Female Archery,bronze
Virginie Arnold,Female Archery,bronze
Yun Ok-hee,Female Archery,bronze
Zhang Juanjuan,Female Archery,gold
Aaron Armstrong,Male Athletics,gold
Ainārs Kovals,Male Athletics,silver
Alex Schwazer,Male Athletics,gold
Alfred Kirwa Yego,Male Athletics,bronze
Andrae Williams,Male Athletics,silver
Andreas Thorkildsen,Male Athletics,gold
Andrei Krauchanka,Male Athletics,silver
Andretti Bain,Male Athletics,silver
Andrew Steele,Male Athletics,bronze
Andrey Silnov,Male Athletics,gold
Angelo Taylor,Male Athletics,gold
Asbel Kiprop,Male Athletics,gold
Avard Moncur,Male Athletics,silver
Bershawn Jackson,Male Athletics,bronze
Brimin Kipruto,Male Athletics,gold
Bruno de Barros,Male Athletics,bronze
Bryan Clay,Male Athletics,gold
Chris Brown,Male Athletics,silver
Christian Cantwell,Male Athletics,silver
David Neville,Male Athletics,bronze
David Oliver,Male Athletics,bronze
David Payne,Male Athletics,silver
Dayron Robles,Male Athletics,gold
Denis Nizhegorodov,Male Athletics,bronze
Derek Miles,Male Athletics,bronze
Dylan Armstrong,Male Athletics,bronze
Edwin Soi,Male Athletics,bronze
Eliud Kipchoge,Male Athletics,silver
Emmanuel Callender,Male Athletics,gold
Gerd Kanter,Male Athletics,gold
Germaine Mason,Male Athletics,silver
Godfrey Khotso Mokoena,Male Athletics,silver
Ibrahim Camejo,Male Athletics,bronze
Irving Saladino,Male Athletics,gold
Ismail Ahmed Ismail,Male Athletics,silver
Ivan Tsikhan,Male Athletics,bronze
Jaouad Gharib,Male Athletics,silver
Jared Tallent,Male Athletics,bronze
Jefferson Pérez,Male Athletics,silver
Jeremy Wariner,Male Athletics,silver
José Carlos Moreira,Male Athletics,bronze
Kenenisa Bekele,Male Athletics,gold
Kerron Clement,Male Athletics,silver
Keston Bledman,Male Athletics,gold
LaShawn Merritt,Male Athletics,gold
Leevan Sands,Male Athletics,bronze
Leonel Suárez,Male Athletics,bronze
Mahiedine Mekhissi-Benabbad,Male Athletics,silver
Marc Burns,Male Athletics,gold
Martyn Rooney,Male Athletics,bronze
Mehdi Baala,Male Athletics,bronze
Micah Kogo,Male Athletics,bronze
Michael Bingham,Male Athletics,bronze
Michael Mathieu,Male Athletics,silver
Naoki Tsukahara,Male Athletics,silver
Nelson Évora,Male Athletics,gold
Nick Willis,Male Athletics,silver
Nobuharu Asahara,Male Athletics,silver
Phillips Idowu,Male Athletics,silver
Piotr Małachowski,Male Athletics,silver
Primož Kozmus,Male Athletics,gold
Ramon Miller,Male Athletics,silver
Reggie Witherspoon,Male Athletics,gold
Richard Mateelong,Male Athletics,bronze
Richard Thompson,Male Athletics,silver
Robert Tobin,Male Athletics,bronze
Samuel Wanjiru,Male Athletics,gold
Sandro Viana,Male Athletics,bronze
Shawn Crawford,Male Athletics,silver
Shingo Suetsugu,Male Athletics,silver
Shinji Takahira,Male Athletics,silver
Sileshi Sihine,Male Athletics,silver
Steve Hooker,Male Athletics,gold
Tero Pitkämäki,Male Athletics,bronze
Tomasz Majewski,Male Athletics,gold
Tsegaye Kebede,Male Athletics,bronze
Usain Bolt,Male Athletics,gold
Vadim Devyatovskiy,Male Athletics,silver
Valeriy Borchin,Male Athletics,gold
Vicente de Lima,Male Athletics,bronze
Virgilijus Alekna,Male Athletics,bronze
Walter Dix,Male Athletics,bronze
Wilfred Bungei,Male Athletics,gold
Yaroslav Rybakov,Male Athletics,bronze
Yevgeny Lukyanenko,Male Athletics,silver
Agnes Osazuwa,Female Athletics,silver
Allyson Felix,Female Athletics,silver
Anna Chicherova,Female Athletics,bronze
Barbora Špotáková,Female Athletics,gold
Blanka Vlašić,Female Athletics,silver
Blessing Okagbare,Female Athletics,silver
Bobby-Gaye Wilkins,Female Athletics,silver
Catherine Ndereba,Female Athletics,silver
Chelsea Hammond,Female Athletics,bronze
Christina Obergföll,Female Athletics,bronze
Christine Ohuruogu,Female Athletics,gold
Constantina Diță,Female Athletics,gold
Dawn Harper-Nelson,Female Athletics,gold
Elisa Rigaudo,Female Athletics,bronze
Ene Franca Idoko,Female Athletics,silver
Eunice Jepkorir,Female Athletics,silver
Françoise Mbango Etone,Female Athletics,gold
Gloria Kemasuode,Female Athletics,silver
Gong Lijiao,Female Athletics,bronze
Gölnara Galkina-Sämitevä,Female Athletics,gold
Halimat Ismaila,Female Athletics,silver
Hanna Mariën,Female Athletics,gold
Hasna Benhassi,Female Athletics,bronze
Hyleas Fountain,Female Athletics,silver
Iryna Lishchynska,Female Athletics,silver
Janeth Jepkosgei,Female Athletics,silver
Jennifer Suhr,Female Athletics,silver
Kelly Sotherton,Female Athletics,bronze
Kerron Stewart,Female Athletics,bronze
Kim Gevaert,Female Athletics,gold
Kjersti Plätzer,Female Athletics,silver
Linet Masai,Female Athletics,bronze
Lucimar de Moura,Female Athletics,bronze
Manuela Montebrun,Female Athletics,bronze
Marilyn Okoro,Female Athletics,bronze
Mariya Abakumova,Female Athletics,silver
Mary Wineberg,Female Athletics,gold
Maurren Maggi,Female Athletics,gold
Melaine Walker,Female Athletics,gold
Meseret Defar,Female Athletics,silver
Monique Henderson,Female Athletics,gold
Nancy Langat,Female Athletics,gold
Nataliya Dobrynska,Female Athletics,gold
Nataliya Tobias,Female Athletics,bronze
Natasha Hastings,Female Athletics,gold
Nicola Sanders,Female Athletics,bronze
Novlene Williams-Mills,Female Athletics,silver
Olena Antonova,Female Athletics,silver
Olga Kaniskina,Female Athletics,gold
Olivia Borlée,Female Athletics,gold
Oludamola Osayomi,Female Athletics,silver
Pamela Jelimo,Female Athletics,gold
Priscilla Lopes-Schliep,Female Athletics,bronze
Rosemar Coelho Neto,Female Athletics,bronze
Rosemarie Whyte,Female Athletics,silver
Rosângela Santos,Female Athletics,bronze
Sally Pearson,Female Athletics,silver
Sanya Richards-Ross,Female Athletics,bronze
Shalane Flanagan,Female Athletics,silver
Sheena Tosta,Female Athletics,silver
Shelly-Ann Fraser-Pryce,Female Athletics,gold
Shereefa Lloyd,Female Athletics,silver
Shericka Williams,Female Athletics,silver
Sherone Simpson,Female Athletics,silver
Song Aimin,Female Athletics,bronze
Stephanie Brown Trafton,Female Athletics,gold
Svetlana Feofanova,Female Athletics,bronze
Sylvia Jebiwott Kibet,Female Athletics,bronze
Tasha Danvers,Female Athletics,bronze
Tatyana Chernova,Female Athletics,bronze
Thaissa Presti,Female Athletics,bronze
Tia Hellebaut,Female Athletics,gold
Tirunesh Dibaba,Female Athletics,gold
Valerie Adams,Female Athletics,gold
Veronica Campbell-Brown,Female Athletics,gold
Yekaterina Volkova,Female Athletics,bronze
Yelena Isinbayeva,Female Athletics,gold
Yipsi Moreno,Female Athletics,gold
Zhang Wenxiu,Female Athletics,silver
Zhou Chunxiu,Female Athletics,bronze
Élodie Ouédraogo,Female Athletics,gold
Cai Yun,Male Badminton,silver
Chen Jin,Male Badminton,bronze
Fu Haifeng,Male Badminton,silver
He Hanbin,Male Badminton,bronze
Hendra Setiawan,Male Badminton,gold
Hwang Ji-man,Male Badminton,bronze
Lee Chong Wei,Male Badminton,silver
Lee Jae-jin,Male Badminton,bronze
Lee Yong-dae,Male Badminton,gold
Lin Dan,Male Badminton,gold
Markis Kido,Male Badminton,gold
Nova Widianto,Male Badminton,silver
Du Jing,Female Badminton,gold
Lee Hyo-jung,Female Badminton,silver
Lee Kyung-won,Female Badminton,silver
Liliyana Natsir,Female Badminton,silver
Maria Kristin Yulianti,Female Badminton,bronze
Wei Yili,Female Badminton,bronze
Xie Xingfang,Female Badminton,silver
Yu Yang,Female Badminton,gold
Zhang Ning,Female Badminton,gold
Zhang Yawen,Female Badminton,bronze
Adiel Palma,Male Baseball,silver
Alexander Malleta,Male Baseball,silver
Alexei Bell,Male Baseball,silver
Alfredo Despaigne,Male Baseball,silver
Ariel Pestano,Male Baseball,silver
Blaine Neal,Male Baseball,bronze
Bong Jung-keun,Male Baseball,gold
Brandon Knight,Male Baseball,bronze
Brett Anderson,Male Baseball,bronze
Brian Barden,Male Baseball,bronze
Brian Duensing,Male Baseball,bronze
Casey Weathers,Male Baseball,bronze
Chong Tae-hyon,Male Baseball,gold
Dexter Fowler,Male Baseball,bronze
Eduardo Paret,Male Baseball,silver
Elier Sánchez,Male Baseball,silver
Eriel Sánchez,Male Baseball,silver
Frederich Cepeda,Male Baseball,silver
Giorvis Duvergel,Male Baseball,silver
Han Ki-joo,Male Baseball,gold
Hyun-jin Ryu,Male Baseball,gold
Héctor Olivera,Male Baseball,silver
Jake Arrieta,Male Baseball,bronze
Jang Won-sam,Male Baseball,gold
Jason Donald,Male Baseball,bronze
Jayson Nix,Male Baseball,bronze
Jeff Stevens,Male Baseball,bronze
Jeong Keun-woo,Male Baseball,gold
Jeremy Cummings,Male Baseball,bronze
Jin Kab-yong,Male Baseball,gold
John Gall,Male Baseball,bronze
Jonder Martínez,Male Baseball,silver
Kang Min-ho,Male Baseball,gold
Kevin Jepsen,Male Baseball,bronze
Kim Dong-ju,Male Baseball,gold
Kim Hyun-soo,Male Baseball,gold
Kim Kwang-hyun,Male Baseball,gold
Kim Min-jae,Male Baseball,gold
Ko Young-min,Male Baseball,gold
Kwon Hyuk,Male Baseball,gold
Lee Dae-ho,Male Baseball,gold
Lee Jin-young,Male Baseball,gold
Lee Jong-wook,Male Baseball,gold
Lee Seung-yuop,Male Baseball,gold
Lee Taek-keun,Male Baseball,gold
Lee Yong-kyu,Male Baseball,gold
Lou Marson,Male Baseball,bronze
Luis Miguel Navas,Male Baseball,silver
Luis Miguel Rodríguez,Male Baseball,silver
Matt LaPorta,Male Baseball,bronze
Matthew Brown,Male Baseball,bronze
Michel Enríquez,Male Baseball,silver
Miguel Lahera,Male Baseball,silver
Mike Hessman,Male Baseball,bronze
Mike Koplove,Male Baseball,bronze
Nate Schierholtz,Male Baseball,bronze
Norberto González,Male Baseball,silver
Norge Luis Vera,Male Baseball,silver
Oh Seung-hwan,Male Baseball,gold
Park Jin-man,Male Baseball,gold
Pedro Luis Lazo,Male Baseball,silver
Rolando Meriño,Male Baseball,silver
Song Seung-jun,Male Baseball,gold
Stephen Strasburg,Male Baseball,bronze
Taylor Teagarden,Male Baseball,bronze
Terry Tiffee,Male Baseball,bronze
Trevor Cahill,Male Baseball,bronze
Vicyohandri Odelín,Male Baseball,silver
Yadier Pedroso,Male Baseball,silver
Yoandry Urgellés,Male Baseball,silver
Yoon Suk-min,Male Baseball,gold
Yulieski Gurriel,Male Baseball,silver
Andrés Nocioni,Male Basketball,bronze
Antonio Porta,Male Basketball,bronze
Berni Rodríguez,Male Basketball,silver
Carlos Boozer,Male Basketball,gold
Carlos Delfino,Male Basketball,bronze
Carlos Jiménez,Male Basketball,silver
Carmelo Anthony,Male Basketball,gold
Chris Bosh,Male Basketball,gold
Chris Paul,Male Basketball,gold
Dwight Howard,Male Basketball,gold
Dwyane Wade,Male Basketball,gold
Fabricio Oberto,Male Basketball,bronze
Federico Kammerichs,Male Basketball,bronze
Felipe Reyes,Male Basketball,silver
Jason Kidd,Male Basketball,gold
Jorge Garbajosa,Male Basketball,silver
José Calderón,Male Basketball,silver
Juan Carlos Navarro,Male Basketball,silver
Juan Pedro Gutiérrez,Male Basketball,bronze
